"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Area","Urban","numeracy","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",520,17.4715684649931,518,18.9189189189189,17.4715684649931
"AFG","Afghanistan","Area","Urban","numeracy","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",432,51.0631618909488,429,46.8531468531469,51.0631618909488
"AFG","Afghanistan","Area","Urban","numeracy","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",109,67.0973625337806,109,70.6422018348624,67.0973625337806
"AFG","Afghanistan","Area","Urban","reading","Early Primary (1-3)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",520,13.8546535687468,520,11.1538461538462,13.8546535687468
"AFG","Afghanistan","Area","Urban","reading","End of Primary (4-6)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",432,48.9876222681058,432,48.3796296296296,48.9876222681058
"AFG","Afghanistan","Area","Urban","reading","Lower Secondary (7-9)",FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",109,64.106780898777,109,64.2201834862385,64.106780898777
"AZE","Azerbaijan","All","All","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",859,58.3239152393168,859,52.7357392316647,58.3239152393168
"AZE","Azerbaijan","All","All","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",1045,76.7170100871434,1045,71.4832535885167,76.7170100871434
"AZE","Azerbaijan","All","All","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",787,80.7815529436474,787,77.3824650571792,80.7815529436474
"AZE","Azerbaijan","All","All","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",859,55.9583911704163,859,52.0372526193248,55.9583911704163
"AZE","Azerbaijan","All","All","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",1045,71.9314617578561,1045,68.5167464114833,71.9314617578561
"AZE","Azerbaijan","All","All","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",787,73.133258152811,787,71.9186785260483,73.133258152811
"AZE","Azerbaijan","Sex","Female","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",367,56.231710738555,367,52.5885558583106,56.231710738555
"AZE","Azerbaijan","Sex","Female","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",456,76.6088941630737,456,71.2719298245614,76.6088941630737
