"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Wealth","Fourth","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",109,51.2988271678194,109,45.8715596330275,47.420632882664
"AFG","Afghanistan","Wealth","Fourth","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",83,54.008438533179,83,59.0361445783133,61.9571713908351
"AFG","Afghanistan","Wealth","Fourth","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",11,83.3146872085314,11,72.7272727272727,79.8455818876132
"AFG","Afghanistan","Sex","Male","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",506,3.25406519444088,506,4.54545454545455,3.24143066155563
"AFG","Afghanistan","Sex","Male","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",504,15.3011606602723,504,15.0793650793651,14.9460814527499
"AFG","Afghanistan","Sex","Male","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",432,24.4762128226073,429,22.3776223776224,25.7726981637008
"AFG","Afghanistan","Sex","Male","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",419,37.2974639117692,419,36.0381861575179,35.6883486455915
"AFG","Afghanistan","Sex","Male","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",340,43.5852699062585,340,41.4705882352941,45.1980040113285
"AFG","Afghanistan","Sex","Male","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",313,53.3470848501343,312,49.3589743589744,52.5842987815767
"AFG","Afghanistan","Sex","Male","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",247,59.2357919350682,246,61.3821138211382,57.5213425356945
"AFG","Afghanistan","Sex","Male","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",37,59.10241393237,37,54.0540540540541,60.0960771948734
"AFG","Afghanistan","Sex","Male","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",506,2.21192000501336,506,2.37154150197628,2.8302782192879
"AFG","Afghanistan","Sex","Male","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",504,10.9109787598613,504,8.92857142857143,8.84314157121891
"AFG","Afghanistan","Sex","Male","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",432,13.2112480741288,432,12.037037037037,16.1021577120541
"AFG","Afghanistan","Sex","Male","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",419,27.2940920471404,419,26.9689737470167,24.481079911505
"AFG","Afghanistan","Sex","Male","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",340,31.1165408026091,340,32.3529411764706,36.2546059554324
"AFG","Afghanistan","Sex","Male","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",313,48.9409149066302,313,44.0894568690096,44.0554052125967
"AFG","Afghanistan","Sex","Male","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",247,52.2589519012726,247,51.0121457489879,46.3798816586409
"AFG","Afghanistan","Sex","Male","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",37,39.4766404928496,37,45.9459459459459,43.3749731150707
"AFG","Afghanistan","Wealth","Middle","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",209,1.56722914308672,209,2.39234449760766,0.886297821882509
"AFG","Afghanistan","Wealth","Middle","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",206,9.29393673018694,206,11.1650485436893,9.52837064296148
"AFG","Afghanistan","Wealth","Middle","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",180,15.5715163438643,178,17.4157303370787,18.9558176879032
"AFG","Afghanistan","Wealth","Middle","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",163,32.6137506805932,163,31.2883435582822,29.0959909937666
"AFG","Afghanistan","Wealth","Middle","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",133,38.465972368346,133,36.8421052631579,40.409688727924
"AFG","Afghanistan","Wealth","Middle","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",107,49.4808181951352,107,52.3364485981308,49.5905420317572
"AFG","Afghanistan","Wealth","Middle","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",75,59.4323005977877,73,58.9041095890411,56.362710551231
"AFG","Afghanistan","Wealth","Middle","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",17,59.4328394792163,17,52.9411764705882,60.9440649051445
"AFG","Afghanistan","Wealth","Middle","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",209,1.34573137492714,209,2.39234449760766,2.53431753010164
"AFG","Afghanistan","Wealth","Middle","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",206,10.6842995801847,206,9.22330097087379,6.17252094686719
"AFG","Afghanistan","Wealth","Middle","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",180,5.10560134724841,180,7.22222222222222,11.9026414085625
"AFG","Afghanistan","Wealth","Middle","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",163,24.3617225793777,163,20.8588957055215,19.3328972477463
"AFG","Afghanistan","Wealth","Middle","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",133,26.6571694272271,133,27.0676691729323,31.9381521523146
"AFG","Afghanistan","Wealth","Middle","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",107,42.8989966452395,107,38.3177570093458,39.5344389355592
"AFG","Afghanistan","Wealth","Middle","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",75,49.9123932116722,75,48,39.579237604648
"AFG","Afghanistan","Wealth","Middle","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",17,26.6005267549582,17,35.2941176470588,32.5243545487476
"AFG","Afghanistan","Wealth","Poorest","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",187,1.17617186009251,187,1.06951871657754,1.42917587401002
"AFG","Afghanistan","Wealth","Poorest","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",146,1.68837909182298,146,4.79452054794521,2.90721130444381
"AFG","Afghanistan","Wealth","Poorest","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",110,10.5753797605685,110,10.9090909090909,7.02830669680325
"AFG","Afghanistan","Wealth","Poorest","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",78,17.4104449606447,78,25.6410256410256,14.2263773783522
"AFG","Afghanistan","Wealth","Poorest","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",68,14.069380088573,68,17.6470588235294,23.7741819175726
"AFG","Afghanistan","Wealth","Poorest","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",51,50.520526615125,51,41.1764705882353,39.2969503495103
"AFG","Afghanistan","Wealth","Poorest","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",21,51.9132113589044,21,47.6190476190476,63.5741049312703
"AFG","Afghanistan","Wealth","Poorest","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2,100,2,100,95.7615423449363
"AFG","Afghanistan","Wealth","Poorest","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",187,0,187,0,-0.465813061133806
"AFG","Afghanistan","Wealth","Poorest","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",146,0.442136568982955,146,1.36986301369863,1.55641836390305
"AFG","Afghanistan","Wealth","Poorest","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",110,6.27897938180888,110,5.45454545454545,5.62707993678474
"AFG","Afghanistan","Wealth","Poorest","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",78,11.3467478043507,78,12.8205128205128,11.8810093395124
"AFG","Afghanistan","Wealth","Poorest","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",68,16.7234575131935,68,19.1176470588235,16.6449448610481
"AFG","Afghanistan","Wealth","Poorest","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",51,34.8163216106043,51,35.2941176470588,27.8778381684321
"AFG","Afghanistan","Wealth","Poorest","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",21,27.3123125897218,21,33.3333333333333,52.2301482845573
"AFG","Afghanistan","Wealth","Poorest","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",2,100,2,100,88.2796535173833
"AFG","Afghanistan","Wealth","Richest","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",110,5.80691072010911,110,6.36363636363636,5.90824006359928
"AFG","Afghanistan","Wealth","Richest","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",140,23.3856640225474,140,27.1428571428571,24.4277028900112
"AFG","Afghanistan","Wealth","Richest","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",145,41.73053616593,145,37.2413793103448,39.0264856652089
"AFG","Afghanistan","Wealth","Richest","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",116,51.8018601794033,116,41.3793103448276,49.993943792485
"AFG","Afghanistan","Wealth","Richest","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",122,51.4826094345519,122,53.2786885245902,58.9543386615369
"AFG","Afghanistan","Wealth","Richest","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",125,67.8958574545768,124,62.9032258064516,61.9415031048824
